trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,19.78671600000007,,19.776798999999983,19.78671600000007,20.787915600000133,20.787915600000133,21.626519000000144,1,up,0,0.8240769999999884,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
11,0,11,0,21.638640000000123,,21.628857500000095,21.638640000000123,22.639988800000083,22.639988800000083,23.44514900000013,0,up,1,0.7963841000000684,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
12,0,12,0,23.45735310000009,,23.447511300000087,23.45735310000009,24.458539200000132,24.458539200000132,25.196905400000105,0,up,1,0.7229667999999947,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
13,0,13,0,25.2093440000001,,25.199230900000202,25.2093440000001,26.210465200000044,26.210465200000044,26.932243299999982,0,up,1,0.7061703999997917,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
14,0,14,0,26.944587000000183,,26.93458170000008,26.944587000000183,27.945726400000012,27.945726400000012,28.650741500000095,0,up,1,0.6893962999999985,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
15,0,15,0,28.663133500000185,,28.6531272000002,28.663133500000185,29.664235899999994,29.664235899999994,30.352708800000073,4,down,1,0.686037400000032,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
16,0,16,0,30.36493990000008,,30.355064800000036,30.36493990000008,31.36612500000001,31.36612500000001,31.8875137,2,down,1,0.5062343000001874,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
17,0,17,0,31.89997500000004,,31.88987350000002,31.89997500000004,32.9011965000002,32.9011965000002,33.675478500000054,-2,up,0,0.768833099999938,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
18,0,18,0,33.70079770000007,,33.67950910000013,33.70079770000007,34.68650810000008,34.7029821000001,35.1578284000002,0,down,0,0.4596027000000049,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
19,0,19,0,35.170193300000165,,35.16014170000017,35.170193300000165,36.17122010000003,36.17122010000003,36.90977590000011,0,down,0,0.7324667000000318,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
