reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,2,1,15,4,24.914771299998392,,24.89135720000195,24.914771299998392,25.915881699998863,25.915881699998863,25.933479700004682,26.693549500007066,t,0.7758403000043472,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
27,30,21,2,2,16,2,26.716820800007554,,26.694968299998436,26.716820800007554,27.717596200003754,27.717596200003754,27.73543570000038,28.34443040000042,t,0.6201853000093251,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
15,35,13,2,3,17,1,28.368335999999545,,28.345879800006514,28.368335999999545,29.369404199998826,29.369404199998826,29.389395899997908,29.979821900007664,t,0.5996000000013737,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
11,30,7,2,4,18,0,30.003713700003573,,29.98127899999963,30.003713700003573,31.00478309999744,31.00478309999744,31.02237370000512,31.748617100005504,l,0.7333924999984447,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
78,80,162,2,5,19,6,31.77227980000316,,31.750064899999416,31.77227980000316,32.77350660000229,32.77350660000229,32.79091160000826,33.533866199999466,t,0.7477796000021044,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
40,55,62,2,6,20,3,33.55753610000829,,33.53534840000793,33.55753610000829,34.55846489999385,34.55846489999385,34.57620500000485,35.952365699995426,t,1.3602190999954473,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
49,60,89,3,0,21,4,35.976829799998086,,35.953870299999835,35.976829799998086,36.97779140000057,36.97779140000057,36.99558800000523,37.72153330000583,t,0.7367571999930078,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
11,30,7,3,1,22,0,37.74530340000638,,37.72298530000262,37.74530340000638,38.74653550000221,38.74653550000221,38.76441210000485,39.20657179999398,l,0.4553994000016246,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
40,55,62,3,2,23,3,39.23017130000517,,39.2081818000006,39.23017130000517,40.2162141000008,40.2162141000008,40.232933699997375,41.110572400008095,t,0.8913677999953507,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
78,80,162,3,3,24,6,41.13278509999509,,41.112250699996366,41.13278509999509,42.13397419999819,42.13397419999819,42.151893400005065,42.9086546000035,t,0.7653594000003068,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
67,75,119,3,4,25,5,42.93455859999813,,42.909610300004715,42.93455859999813,43.9204413999978,43.9204413999978,43.93698929999664,44.71063349999895,t,0.7800317999935942,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
27,30,21,3,5,26,2,44.73687659999996,,44.711576700006844,44.73687659999996,45.722283700000844,45.722283700000844,45.738925099998596,46.19582370000717,t,0.4675089999946067,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
15,35,13,3,6,27,1,46.221590700006345,,46.19741300000169,46.221590700006345,47.20715859999473,47.20715859999473,47.22384469999815,47.880975499996566,t,0.6630422000016551,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
