trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
109,0,109,0,181.52909139999974,,181.4554051999985,10,181.52909139999974,181.52909139999974,0.0536431000000448,182.26532360000056,[0.465],[0.19666666666666666],[1],[0],[0],[0.7566822999979195],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
110,0,110,0,182.32988839999962,,182.2711820000004,5,182.32988839999962,182.32988839999962,0.029712999999901513,183.5191612000017,[-0.17],[0.035],[1],[0],[0],[1.2189461000016308],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
111,0,111,0,183.58161169999948,,183.52498539999942,5,183.58161169999948,183.58161169999948,0.02865380000002915,184.96919669999988,[0.07666666666666666],[0.018333333333333333],[1],[0],[0],[1.4162112999983947],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
112,0,112,0,185.04892159999872,,184.9749875999987,10,185.04892159999872,185.04892159999872,0.0552953999977035,186.2197187999991,[-0.165],[-0.2733333333333333],[1],[0],[0],[1.1900098000005528],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
113,0,113,0,186.26709200000187,,186.2254533000014,5,186.26709200000187,186.26709200000187,0.029341300003579818,188.9251273000009,[-0.495],[0.4483333333333333],[1],[0],[0],[2.6709698000013304],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
114,0,114,0,189.0207154000018,,188.93089780000082,10,189.0207154000018,189.0207154000018,0.05613049999737996,190.75736139999935,[-0.3233333333333333],[-0.2633333333333333],[1],[0],[0],[1.770972599999368],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
115,0,115,0,190.82217220000166,,190.7631493000008,5,190.82217220000166,190.82217220000166,0.029325300001801224,192.40948800000115,[-0.35],[0.37],[1],[0],[0],[1.6176869000009901],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
116,0,116,0,192.50747910000064,,192.41530129999956,10,192.50747910000064,192.50747910000064,0.05558559999917634,193.91074030000163,[-0.05333333333333334],[0.30666666666666664],[1],[0],[0],[1.4404607999967993],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
117,0,117,0,194.00905720000083,,193.91664759999912,10,194.00905720000083,194.00905720000083,0.05577829999674577,195.24612120000165,[0.3933333333333333],[0.44166666666666665],[1],[0],[0],[1.2743167000007816],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
118,0,118,0,195.31150409999827,,195.25199449999855,5,195.31150409999827,195.31150409999827,0.029878500001359498,197.04697859999942,[-0.06166666666666667],[-0.38333333333333336],[1],[0],[0],[1.7657265000016196],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
119,0,119,0,197.12895579999895,,197.0528075000002,10,197.12895579999895,197.12895579999895,0.05403840000144555,198.6665909000003,[0.4633333333333333],[0.18333333333333332],[1],[0],[0],[1.5603967000024568],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
120,0,120,0,198.76492950000102,,198.67237340000065,10,198.76492950000102,198.76492950000102,0.054649800000333926,200.16850509999858,[0.245],[-0.43666666666666665],[1],[0],[0],[1.4420840999991924],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
121,0,121,0,200.21565980000014,,200.17424409999876,5,200.21565980000014,200.21565980000014,0.02898339999956079,201.92209279999952,[-0.13],[0.44333333333333336],[1],[0],[0],[1.7193989000006695],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
122,0,122,0,202.01781729999857,,201.92789419999826,10,202.01781729999857,202.01781729999857,0.05663519999870914,202.95554640000046,[-0.26],[0.35],[1],[0],[0],[0.9716383999984828],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
123,0,123,0,203.0199911000018,,202.96246719999908,5,203.0199911000018,203.0199911000018,0.030164300002070377,204.25769969999965,[0.075],[0.22333333333333333],[1],[0],[0],[1.2656664999994973],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
124,0,124,0,204.3216281999994,,204.26338229999965,5,204.3216281999994,204.3216281999994,0.029468400000041584,205.17444239999895,[0.195],[-0.355],[1],[0],[0],[0.8820856000020285],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
125,0,125,0,205.28947010000047,,205.180472,10,205.28947010000047,205.28947010000047,0.0674416999972891,206.81018549999862,[-0.49666666666666665],[-0.35833333333333334],[1],[0],[0],[1.56272479999825],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
126,0,126,0,206.92404159999933,,206.8224577000001,10,206.92404159999933,206.92404159999933,0.06700899999850662,207.90968259999863,[0.2733333333333333],[-0.03833333333333333],[1],[0],[0],[1.022614400000748],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
127,0,127,0,207.9580539999988,,207.91544540000177,5,207.9580539999988,207.9580539999988,0.027268000001640758,208.99615389999963,[0.48833333333333334],[0.24166666666666667],[1],[0],[0],[1.0540587000032247],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
128,0,128,0,209.04201069999908,,209.00204010000016,5,209.04201069999908,209.04201069999908,0.027394299999286886,210.41420500000095,[-0.11],[-0.305],[1],[0],[0],[1.3853765999992902],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
129,0,129,0,210.49349620000066,,210.41980609999882,10,210.49349620000066,210.49349620000066,0.05447150000327383,211.93059640000138,[0.20166666666666666],[-0.025],[1],[0],[0],[1.45697029999792],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
