pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,,,,,20,0,80,3,688.1932878000662,,688.1711709999945,688.1932878000662,689.1942293000175,689.1942293000175,689.1942293000175,689.1942293000175,689.2278281999752,690.1955302000279,690.1955302000279,690.7047967000399,z,1,0.4896732000634074,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,20,1,81,1,690.7294739000499,,690.707301300019,690.7294739000499,691.73040520004,691.73040520004,691.73040520004,691.73040520004,691.7639493000461,692.7317248999607,692.7317248999607,693.2737106999848,v,1,0.5282434000400826,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,20,2,82,0,693.2989488999592,,693.2764196000062,693.2989488999592,694.316861600033,694.316861600033,694.316861600033,694.316861600033,694.316861600033,695.3177746000001,695.3177746000001,695.9606023000088,x,1,0.6408993999939412,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,20,3,83,2,695.9852367000422,,695.9632868999615,695.9852367000422,696.9863541000523,696.9863541000523,696.9863541000523,696.9863541000523,697.0196926000062,697.9875151000451,697.9875151000451,698.5637784999562,c,1,0.5734678000444546,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,21,0,84,0,698.5880937000038,,698.5663362999912,698.5880937000038,699.5890872000018,699.5890872000018,699.5890872000018,699.5890872000018,699.6223225999856,700.5902789999964,700.5902789999964,701.4997820999706,x,1,0.894647300010547,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,21,1,85,3,701.5245182999643,,701.5024761999957,701.5245182999643,702.5258114000317,702.5258114000317,702.5258114000317,702.5258114000317,702.5590937000234,703.5266893999651,703.5266893999651,704.1361264999723,z,1,0.5790919000282884,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,21,2,86,0,704.1610037999926,,704.1387225000653,704.1610037999926,705.1619680000003,705.1619680000003,705.1619680000003,705.1619680000003,705.1954171999823,706.1630125000374,706.1630125000374,706.8720114000607,x,1,0.6849231999367476,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,21,3,87,2,706.8970960000297,,706.8746014999924,706.8970960000297,707.89812909998,707.89812909998,707.89812909998,707.89812909998,707.9315634999657,708.8993483000668,708.8993483000668,709.5083593999734,c,1,0.5979361000936478,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,22,0,88,0,709.5332903000526,,709.5109755999874,709.5332903000526,710.5342949000187,710.5342949000187,710.5342949000187,710.5342949000187,710.5676939999685,711.5355300999945,711.5355300999945,712.0781497000717,x,1,0.5383612000150606,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,22,1,89,3,712.102864400018,,712.0807481000666,712.102864400018,713.1037512000185,713.1037512000185,713.1037512000185,713.1037512000185,713.1374815000454,714.1052413999569,714.1052413999569,714.7137864000397,z,1,0.5749981999397278,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
